# Loss,rewards
3.304196596145629883e-01,8.666266608715275099e-01
2.739268243312835693e-01,9.824364327073616954e-01
3.108369112014770508e-01,9.976871022495291674e-01
4.434151351451873779e-01,8.839203865788131109e-01
2.760531902313232422e-01,9.847137957634650718e-01
2.823223471641540527e-01,9.979870019112381252e-01
2.626211047172546387e-01,9.997349138319325812e-01
2.946406006813049316e-01,9.999650915334233892e-01
3.467242717742919922e-01,9.999954030002862204e-01
2.201607525348663330e-01,9.661940625394488391e-01
3.594017922878265381e-01,3.333333333333336063e-02
2.675905227661132812e-01,6.842249657064471968e-01
2.673520743846893311e-01,7.847539049489972163e-01
2.947079539299011230e-01,7.979922837792918777e-01
3.260226845741271973e-01,6.839605750930205508e-01
3.520377576351165771e-01,6.689440537845404711e-01
2.964020669460296631e-01,7.827416037905567947e-01
2.771091759204864502e-01,9.135023236816097736e-01
1.840667426586151123e-01,8.149468080568375017e-01
2.201674282550811768e-01,6.861932696480882443e-01
2.971855998039245605e-01,7.850131054680610232e-01
3.741065263748168945e-01,7.980264171809792195e-01
2.911013364791870117e-01,9.155151386136818337e-01
2.710220813751220703e-01,9.309869043990582904e-01
3.204724192619323730e-01,9.330243385765563113e-01
2.948316931724548340e-01,0.000000000000000000e+00
3.514026403427124023e-01,7.993780516752840848e-01
3.706734776496887207e-01,7.999992252295410333e-01
2.785370945930480957e-01,7.999999992203696841e-01
3.924590945243835449e-01,0.000000000000000000e+00
2.369226217269897461e-01,8.666666666666666963e-01
2.766447663307189941e-01,7.508916323731139597e-01
2.982811629772186279e-01,7.356455373221110206e-01
3.596281707286834717e-01,7.336378211014028539e-01
2.604517042636871338e-01,7.333734304879762078e-01
2.624247968196868896e-01,8.491136479106252688e-01
3.491181731224060059e-01,8.643551580238956200e-01
1.910455077886581421e-01,8.663622704667955920e-01
2.522888183593750000e-01,8.666265815703871889e-01
3.665753901004791260e-01,8.666613879708604529e-01
2.947902381420135498e-01,8.666659715297703181e-01
2.885084152221679688e-01,8.327112939436115413e-01
2.136207520961761475e-01,8.660872942852416712e-01
2.720628678798675537e-01,9.824413850135993442e-01
2.235846817493438721e-01,8.819127614734822984e-01
2.217049002647399902e-01,9.844494171533938465e-01
2.567092776298522949e-01,9.979521866210238068e-01
2.878385484218597412e-01,3.330636624356903552e-01
2.610909342765808105e-01,8.327113850086175217e-01
3.030944466590881348e-01,7.994206396384210267e-01
2.330263853073120117e-01,9.157747199343426736e-01
1.743405014276504517e-01,9.310211293407305577e-01
1.952349245548248291e-01,3.333333333333336063e-02
