# Loss,rewards
4.079892158508300781e+00,6.667067638212141878e-01
3.731370925903320312e+00,6.666719469504052142e-01
4.531334400177001953e+00,6.666673620126735145e-01
4.038640499114990234e+00,6.666667582348652088e-01
3.267928838729858398e+00,6.666666787250301596e-01
2.999590396881103516e+00,6.666666682545993039e-01
4.008729934692382812e+00,6.666666668757771363e-01
4.579979896545410156e+00,6.666666666942037134e-01
2.951042175292968750e+00,6.666666666702929511e-01
3.962360382080078125e+00,7.824417009606969842e-01
2.791104555130004883e+00,7.976877960112851440e-01
2.216308116912841797e+00,6.839204779383859512e-01
2.245704174041748047e+00,6.689387735008026636e-01
1.929840564727783203e+00,6.669658741509972844e-01
2.545431375503540039e+00,6.667060684753027822e-01
2.036214828491210938e+00,6.666718553822073012e-01
1.711934685707092285e+00,6.666673499543098735e-01
1.805065155029296875e+00,6.666667566469324235e-01
2.147357940673828125e+00,6.666666785159197639e-01
2.168192148208618164e+00,6.666666682270622202e-01
1.867362856864929199e+00,7.000000000000000666e-01
2.469779014587402344e+00,8.157732852256458500e-01
2.375958919525146484e+00,7.152460913732218151e-01
1.758700489997863770e+00,7.344524867789337108e-01
1.422871589660644531e+00,8.493709777849783871e-01
2.250123977661132812e+00,7.486142415067574829e-01
2.189368724822998047e+00,7.353456344772699715e-01
2.303283691406250000e+00,7.000000000000000666e-01
2.574030399322509766e+00,8.158081775028759308e-01
2.725708484649658203e+00,8.637513484760243054e-01
1.941730976104736328e+00,7.505862606906233969e-01
2.997451305389404297e+00,8.513805511946607174e-01
3.258630275726318359e+00,7.488786463567772556e-01
3.270725727081298828e+00,7.353804527446244910e-01
2.499585390090942383e+00,9.491083676268861069e-01
3.090696811676025391e+00,2.638923291747313216e-01
2.349997520446777344e+00,8.660447183419508477e-01
3.673329353332519531e+00,8.666658918962076852e-01
3.586645603179931641e+00,8.666666658870362250e-01
3.154196977615356445e+00,7.508916323715518759e-01
2.121186733245849609e+00,7.356455373221049143e-01
3.048489093780517578e+00,7.336378211014028539e-01
4.023324966430664062e+00,7.000000000000000666e-01
1.977486729621887207e+00,7.000018420255385010e-01
2.572810411453247070e+00,7.333333333333333925e-01
2.065908908843994141e+00,7.333333333333333925e-01
2.300933361053466797e+00,7.333333333333333925e-01
2.091684579849243164e+00,7.333333348701430721e-01
2.628202915191650391e+00,7.333333335422458354e-01
3.503715753555297852e+00,7.333333333608696991e-01
2.940112829208374023e+00,7.333333333369597140e-01
4.451100349426269531e+00,7.333333333338108995e-01
3.657035112380981445e+00,7.333333333333963422e-01
2.579949378967285156e+00,7.333333333333414972e-01
3.567085266113281250e+00,7.000000000000000666e-01
3.441840648651123047e+00,7.000000000000000666e-01
2.928958415985107422e+00,7.000000000000000666e-01
3.447908639907836914e+00,7.000000000000000666e-01
3.335133790969848633e+00,8.157750342934514398e-01
2.433392524719238281e+00,8.637447024850403166e-01
4.290877342224121094e+00,7.505856510602204601e-01
3.173535346984863281e+00,7.013866906694810055e-01
2.859688282012939453e+00,7.002957226439122662e-01
3.213123798370361328e+00,6.666666666666666297e-01
3.654523372650146484e+00,7.824451264427444430e-01
2.048417091369628906e+00,6.819134412942057244e-01
2.021139621734619141e+00,6.686744728532806326e-01
2.178487777709960938e+00,6.669310691292907878e-01
2.213487625122070312e+00,7.824765193915186323e-01
2.673225879669189453e+00,6.819173468608857869e-01
2.770853519439697266e+00,7.011199771710548978e-01
3.450522899627685547e+00,7.002609752577931834e-01
2.897257328033447266e+00,6.666666666666665186e-02
3.448185682296752930e+00,8.666666666666666963e-01
2.828899860382080078e+00,7.508916323731139597e-01
3.224231719970703125e+00,8.514205716156638681e-01
2.713151454925537109e+00,8.646589504459584186e-01
2.567244291305541992e+00,8.664022760532400502e-01
2.794424057006835938e+00,7.508568155022099511e-01
2.976014137268066406e+00,7.356409523843788767e-01
2.526302814483642578e+00,7.336372173235944372e-01
3.421322584152221680e+00,7.333733509781413806e-01
3.642437219619750977e+00,7.333386031466413435e-01
3.869585990905761719e+00,8.491090615940706243e-01
3.333440065383911133e+00,7.485795197709612658e-01
4.311085700988769531e+00,7.353410615884943269e-01
3.883958816528320312e+00,7.000000000000000666e-01
5.638933181762695312e+00,7.000313723242880259e-01
5.405447006225585938e+00,8.157796124789671310e-01
6.235573768615722656e+00,7.152466988181706009e-01
4.650242805480957031e+00,7.020077957309643901e-01
4.081484794616699219e+00,7.002644010839200739e-01
3.915753126144409180e+00,7.000348182497343474e-01
2.725825309753417969e+00,7.000045851193065216e-01
2.993975162506103516e+00,7.000006038017194676e-01
3.212538242340087891e+00,7.000000795129835973e-01
2.257365703582763672e+00,1.491083780977317252e-01
2.712186813354492188e+00,8.666666666666666963e-01
2.575661659240722656e+00,9.824417009602194328e-01
2.266651630401611328e+00,8.819127617176695244e-01
2.984135627746582031e+00,7.528993485938220154e-01
2.327822208404541016e+00,7.359099279355375556e-01
4.289699077606201172e+00,7.336726379723067515e-01
4.160312175750732422e+00,7.333780154257084627e-01
2.683959960937500000e+00,7.333392173948807269e-01
3.823480606079101562e+00,7.333341081891749935e-01
3.768508911132812500e+00,7.333334353719626053e-01
4.075677394866943359e+00,7.333333467705190900e-01
4.204398632049560547e+00,7.333333351028392677e-01
4.724764823913574219e+00,7.333333335663546615e-01
3.422891378402709961e+00,7.333333333640191798e-01
3.662562847137451172e+00,7.333333333373742713e-01
4.932821273803710938e+00,7.333333333338654114e-01
3.783204555511474609e+00,7.333333333334034476e-01
3.252400636672973633e+00,8.491083676268953440e-01
3.673453807830810547e+00,9.801294969714430261e-01
3.690933227539062500e+00,9.635891573720823944e-01
2.623600482940673828e+00,9.663219770298691058e-01
2.917119503021240234e+00,8.508462549339602665e-01
3.033317089080810547e+00,7.198645273988119042e-01
2.380595207214355469e+00,7.350572602325288196e-01
3.044405937194824219e+00,7.336743024621737996e-01
3.097106218338012695e+00,7.333786835245833524e-01
2.965391159057617188e+00,7.333393071133814667e-01
2.904683589935302734e+00,7.000000000000000666e-01
1.949361562728881836e+00,7.333333333333333925e-01
1.575947523117065430e+00,7.333333333333333925e-01
2.019199609756469727e+00,7.333333333333333925e-01
2.724071979522705078e+00,7.000000000000000666e-01
2.015869617462158203e+00,7.333333333333333925e-01
2.660045385360717773e+00,7.333333333333333925e-01
2.130969047546386719e+00,7.333333333333333925e-01
2.689964771270751953e+00,8.491083676038977401e-01
2.841416835784912109e+00,7.485794283842969188e-01
2.091619491577148438e+00,7.353410495540425584e-01
2.524915218353271484e+00,7.335977239467600386e-01
2.722370147705078125e+00,7.333681502042371791e-01
3.108264923095703125e+00,7.175582990397805228e-01
2.273530244827270508e+00,8.180872382823305422e-01
2.879387855529785156e+00,7.973808981448038402e-01
2.312628269195556641e+00,7.997348553872239973e-01
3.170546054840087891e+00,6.841901472917815141e-01
3.180412769317626953e+00,6.689742857117355612e-01
2.204458475112915039e+00,6.669705506569045816e-01
2.853453397750854492e+00,6.667066843114746177e-01
3.452681064605712891e+00,6.666719364799748027e-01
2.164010763168334961e+00,6.666673606338512359e-01
3.047790527343750000e+00,6.666667580532917858e-01
2.502757549285888672e+00,6.666666787011193973e-01
4.670319557189941406e+00,7.000000000000000666e-01
3.568227529525756836e+00,8.157732854072605733e-01
2.877583980560302734e+00,7.152460913971409040e-01
2.781284809112548828e+00,7.020077162100825108e-01
3.226007461547851562e+00,7.333333333333333925e-01
3.651040554046630859e+00,7.333647053952788708e-01
2.840251445770263672e+00,7.333379049335609912e-01
3.516037940979003906e+00,7.000000000000000666e-01
4.228260040283203125e+00,7.333333333333333925e-01
3.705457210540771484e+00,7.333333333333333925e-01
4.327298164367675781e+00,7.333333333333333925e-01
2.848218917846679688e+00,7.333333334695425476e-01
3.443606615066528320e+00,7.333333333570686285e-01
2.902740955352783203e+00,7.333333333364814299e-01
3.632807731628417969e+00,7.333333333337480608e-01
2.835988759994506836e+00,7.333333333333880155e-01
3.059159278869628906e+00,7.333333333333404980e-01
2.418792724609375000e+00,7.333333333333342807e-01
3.935266971588134766e+00,7.333333333333333925e-01
2.536951303482055664e+00,7.333333333333333925e-01
1.734369516372680664e+00,7.333333333333333925e-01
4.257322311401367188e+00,7.333333333333333925e-01
2.649178504943847656e+00,7.000000000000000666e-01
4.092866897583007812e+00,7.333333333333333925e-01
4.073192596435546875e+00,7.333333333333333925e-01
2.601467609405517578e+00,7.333333333333333925e-01
3.084856510162353516e+00,8.491083676038272410e-01
4.143482685089111328e+00,8.643544626778650874e-01
4.284179210662841797e+00,9.157750342935528920e-01
2.462691307067871094e+00,8.152460950510027615e-01
2.842075824737548828e+00,8.347087969264718188e-01
3.951998233795166016e+00,7.178211126677482845e-01
2.517143726348876953e+00,7.023470147283136233e-01
3.108818769454956055e+00,6.666666666666666297e-01
4.665331840515136719e+00,6.667039226664900342e-01
2.095389366149902344e+00,7.000000000000000666e-01
2.750702142715454102e+00,7.000000000000000666e-01
5.586004734039306641e+00,7.000000797410290687e-01
3.879785537719726562e+00,7.000000121888122484e-01
2.030356884002685547e+00,6.666666666666666297e-01
1.301910758018493652e+00,6.666666666666666297e-01
2.937354564666748047e+00,6.666666666666666297e-01
3.572263240814208984e+00,6.666666666666666297e-01
2.694542169570922852e+00,6.666666666669520680e-01
1.617958068847656250e+00,6.666666666667296903e-01
2.578690052032470703e+00,6.666666666666750674e-01
1.797971963882446289e+00,6.666666666666677399e-01
2.781927108764648438e+00,6.666666666666668517e-01
2.439419984817504883e+00,6.666666666666668517e-01
2.175411701202392578e+00,6.666666666666668517e-01
3.118182659149169922e+00,6.666666666666668517e-01
2.150691509246826172e+00,6.666666666666668517e-01
1.887670516967773438e+00,7.000000000000000666e-01
1.731413841247558594e+00,7.000000000000000666e-01
3.518453598022460938e+00,6.666666666666666297e-01
3.190729618072509766e+00,7.000000000000000666e-01
3.788620471954345703e+00,7.000000000000000666e-01
3.459824085235595703e+00,8.157750283341577147e-01
2.943746089935302734e+00,7.152460950384685878e-01
2.878538131713867188e+00,6.677860567055492469e-01
3.654078483581542969e+00,6.669275624790289569e-01
3.380394935607910156e+00,7.824765109513099892e-01
2.612327575683593750e+00,7.976923809418549061e-01
2.434558391571044922e+00,9.154711503032887387e-01
1.640182375907897949e+00,8.152060774061947734e-01
2.496682167053222656e+00,6.862274121138473015e-01
2.891528606414794922e+00,6.692425673016862975e-01
1.229012012481689453e+00,6.670058799190149434e-01
1.760376214981079102e+00,9.824417009602194328e-01
2.718950271606445312e+00,8.819127617176695244e-01
2.757017135620117188e+00,8.686743828873749740e-01
3.691473960876464844e+00,3.333333333333336063e-02
2.692033290863037109e+00,7.508916323731139597e-01
1.502870082855224609e+00,7.014220383896550004e-01
2.401993036270141602e+00,7.333333333333333925e-01
1.829779148101806641e+00,7.333703995551181798e-01
2.330171108245849609e+00,7.333386018818220942e-01
2.269816637039184570e+00,7.000000000000000666e-01
