# actor_loss, critic_loss ,rewards
-7.659002542495727539e-01,6.398851871490478516e-01,6.842249657064471968e-01
-7.659490704536437988e-01,6.396843791007995605e-01,7.847539049489972163e-01
-7.660753726959228516e-01,6.396077275276184082e-01,7.979922837792918777e-01
-7.662125825881958008e-01,6.395512223243713379e-01,7.997356093865733984e-01
-7.663508057594299316e-01,6.394990086555480957e-01,7.999651831290961468e-01
-7.664884328842163086e-01,6.394487619400024414e-01,7.999954150622677895e-01
-7.665884494781494141e-01,6.393417119979858398e-01,7.999993962221916277e-01
-7.661614418029785156e-01,6.384634375572204590e-01,6.842248861966123696e-01
-7.656533718109130859e-01,6.374793648719787598e-01,6.689788601850134020e-01
-7.657102346420288086e-01,6.373120546340942383e-01,7.827461873494668820e-01
-7.619752883911132812e-01,6.341576576232910156e-01,3.333333333333336063e-02
-7.617347240447998047e-01,6.335390210151672363e-01,7.175582990397805228e-01
-7.614191174507141113e-01,6.328173279762268066e-01,7.023122039887778056e-01
-7.609912157058715820e-01,6.319444775581359863e-01,6.666666666666666297e-01
-7.610565423965454102e-01,6.317882537841796875e-01,7.824800443048404164e-01
-7.611975669860839844e-01,6.317530870437622070e-01,7.976930744836594478e-01
-7.614602446556091309e-01,6.319155097007751465e-01,8.324092398127708181e-01
-7.616615295410156250e-01,6.319814324378967285e-01,7.993807478922979604e-01
-7.619283199310302734e-01,6.321558356285095215e-01,8.327474257815863368e-01
-7.621285319328308105e-01,6.322247385978698730e-01,7.994186907465969938e-01
-7.617485523223876953e-01,6.314337253570556641e-01,6.842234285649038128e-01
-7.618148922920227051e-01,6.312955021858215332e-01,7.847538900445482080e-01
-7.620629072189331055e-01,6.314485073089599609e-01,8.307143141889591353e-01
-7.618398070335388184e-01,6.308833360671997070e-01,7.172924089665531078e-01
-7.614316940307617188e-01,6.300637125968933105e-01,6.680586147609468561e-01
-7.609718441963195801e-01,6.291776895523071289e-01,6.669630845368518246e-01
-7.605086565017700195e-01,6.282896995544433594e-01,6.667061465479204863e-01
-7.600490450859069824e-01,6.274089813232421875e-01,6.666718673882631174e-01
-7.600740790367126465e-01,6.272211074829101562e-01,7.824423858356842620e-01
-7.602161765098571777e-01,6.272174715995788574e-01,7.976878862005974957e-01
-7.567007541656494141e-01,6.243939995765686035e-01,0.000000000000000000e+00
-7.565271258354187012e-01,6.239054203033447266e-01,7.175582990397805228e-01
-7.567705512046813965e-01,6.240569949150085449e-01,8.180872382823305422e-01
-7.569660544395446777e-01,6.241331696510314941e-01,7.973808981448038402e-01
-7.546070218086242676e-01,6.215932369232177734e-01,2.488436526439297969e-01
-7.549741864204406738e-01,6.219482421875000000e-01,8.327113850086175217e-01
-7.551997900009155273e-01,6.220725178718566895e-01,7.993338733072282709e-01
